,Made Donation in March 2007
659,0.01
276,0.01
263,0.01
303,0.01
83,0.99
500,0.99
530,0.01
244,0.01
249,0.01
728,0.01
129,0.01
534,0.01
317,0.01
401,0.01
696,0.01
192,0.01
176,0.01
571,0.01
139,0.01
423,0.01
563,0.99
56,0.01
528,0.01
101,0.01
467,0.01
382,0.01
466,0.01
294,0.01
512,0.01
659,0.01
389,0.01
487,0.01
701,0.01
419,0.01
536,0.01
240,0.01
508,0.01
515,0.01
283,0.01
650,0.01
65,0.01
228,0.01
741,0.01
297,0.01
464,0.01
63,0.01
231,0.01
28,0.01
248,0.01
357,0.01
300,0.01
726,0.99
680,0.01
520,0.99
254,0.01
582,0.01
143,0.01
98,0.99
1,0.01
221,0.01
352,0.01
64,0.01
138,0.01
745,0.01
64,0.01
688,0.01
623,0.01
289,0.01
174,0.01
690,0.01
105,0.01
427,0.01
48,0.01
14,0.01
657,0.01
301,0.01
455,0.01
579,0.01
722,0.01
98,0.99
491,0.01
303,0.01
466,0.01
65,0.01
300,0.01
9,0.01
622,0.01
323,0.01
289,0.01
568,0.01
290,0.01
156,0.01
464,0.01
426,0.01
306,0.01
4,0.01
12,0.01
187,0.01
406,0.01
96,0.01
509,0.01
733,0.01
548,0.01
478,0.01
501,0.01
127,0.01
199,0.01
299,0.01
162,0.01
235,0.01
23,0.01
473,0.01
487,0.01
683,0.99
303,0.01
309,0.01
569,0.01
34,0.01
686,0.99
84,0.01
733,0.01
537,0.99
181,0.01
453,0.99
67,0.01
161,0.01
307,0.01
703,0.01
181,0.01
246,0.01
316,0.01
278,0.01
346,0.01
545,0.01
419,0.01
694,0.01
622,0.01
663,0.01
262,0.99
461,0.01
373,0.99
233,0.01
466,0.01
207,0.01
263,0.01
16,0.01
513,0.01
449,0.01
429,0.01
701,0.01
632,0.01
529,0.99
245,0.01
344,0.01
353,0.01
241,0.01
633,0.01
624,0.01
726,0.99
189,0.01
138,0.01
402,0.01
511,0.01
590,0.01
334,0.01
447,0.01
119,0.01
389,0.01
644,0.01
423,0.01
131,0.01
405,0.01
82,0.01
643,0.01
156,0.01
617,0.01
574,0.01
272,0.01
613,0.01
545,0.01
685,0.01
570,0.01
537,0.99
691,0.01
85,0.01
483,0.01
455,0.01
93,0.01
744,0.01
33,0.01
321,0.99
523,0.01
426,0.01
196,0.01
301,0.01
103,0.01
224,0.01
454,0.01
585,0.01
154,0.01
